currentTime,naiveAgent,rationalAgent,rubyAgent,allAgent
19:00:00,122,0,2,124
19:01:00,124,0,2,126
19:02:00,127,0,2,129
19:03:00,129,0,3,132
19:04:00,131,0,3,134
19:05:00,133,0,3,136
19:06:00,135,0,3,138
19:07:00,137,1,3,141
19:08:00,139,1,4,144
19:09:00,141,1,4,146
19:10:00,143,1,4,148
19:11:00,145,1,4,150
19:12:00,147,1,5,153
19:13:00,149,1,5,155
19:14:00,151,2,5,158
19:15:00,153,2,5,160
19:16:00,155,2,6,163
19:17:00,156,2,6,164
19:18:00,158,3,6,167
19:19:00,160,3,7,170
19:20:00,161,3,7,171
19:21:00,163,4,8,175
19:22:00,164,4,8,176
19:23:00,166,4,8,178
19:24:00,167,5,9,181
19:25:00,169,5,9,183
19:26:00,170,6,10,186
19:27:00,171,6,10,187
19:28:00,172,7,11,190
19:29:00,173,8,11,192
19:30:00,174,8,12,194
19:31:00,175,9,13,197
19:32:00,176,10,13,199
19:33:00,177,11,14,202
19:34:00,178,11,14,203
19:35:00,179,12,15,206
19:36:00,179,13,16,208
19:37:00,180,14,16,210
19:38:00,180,15,17,212
19:39:00,181,16,18,215
19:40:00,181,18,19,218
19:41:00,182,19,20,221
19:42:00,182,20,20,222
19:43:00,182,21,21,224
19:44:00,182,23,22,227
19:45:00,182,24,23,229
19:46:00,182,26,24,232
19:47:00,182,27,25,234
19:48:00,182,29,26,237
19:49:00,181,31,27,239
19:50:00,181,32,28,241
19:51:00,180,34,29,243
19:52:00,180,36,30,246
19:53:00,179,38,32,249
19:54:00,179,40,33,252
19:55:00,178,42,34,254
19:56:00,177,44,35,256
19:57:00,176,46,37,259
19:58:00,175,48,38,261
19:59:00,174,50,39,263
20:00:00,173,53,41,267
20:01:00,172,55,42,269
20:02:00,171,57,43,271
20:03:00,170,59,45,274
20:04:00,169,62,46,277
20:05:00,167,64,48,279
20:06:00,166,66,49,281
20:07:00,164,69,51,284
20:08:00,163,71,52,286
20:09:00,161,73,54,288
20:10:00,160,76,56,292
20:11:00,158,78,57,293
20:12:00,156,80,59,295
20:13:00,155,82,61,298
20:14:00,153,85,62,300
20:15:00,151,87,64,302
20:16:00,149,89,66,304
20:17:00,147,91,68,306
20:18:00,145,93,69,307
20:19:00,143,95,71,309
20:20:00,141,96,73,310
20:21:00,139,98,75,312
20:22:00,137,100,77,314
20:23:00,135,101,79,315
20:24:00,133,103,80,316
20:25:00,131,104,82,317
20:26:00,129,105,84,318
20:27:00,127,106,86,319
20:28:00,124,107,88,319
20:29:00,122,108,90,320
20:30:00,120,109,92,321
