time30sec,Type1,Type2,Type3,sumType
1900,0,0,0,0
1901.666667,0,0,0,0
1903.333333,0,0,1,1
1905,0,0,1,1
1906.666667,0,0,1,1
1908.333333,0,0,1,1
1910,0,0,1,1
1911.666667,0,0,1,1
1913.333333,0,0,1,1
1915,0,0,1,1
1916.666667,0,0,1,1
1918.333333,0,0,1,1
1920,0,0,1,1
1921.666667,0,0,1,1
1923.333333,0,0,1,1
1925,0,0,2,2
1926.666667,0,0,2,2
1928.333333,0,0,2,2
1930,0,0,2,2
1931.666667,0,0,2,2
1933.333333,0,0,2,2
1935,0,0,2,2
1936.666667,0,0,3,3
1938.333333,0,0,3,3
1940,0,0,3,3
1941.666667,0,0,3,3
1943.333333,0,0,3,3
1945,0,0,3,3
1946.666667,0,0,4,4
1948.333333,0,0,4,4
1950,0,0,4,4
1951.666667,0,0,4,4
1953.333333,0,0,4,4
1955,0,0,5,5
1956.666667,0,0,5,5
1958.333333,0,0,5,5
1960,0,0,5,5
1961.666667,0,0,6,6
1963.333333,0,0,6,6
1965,0,0,6,6
1966.666667,0,0,6,6
1968.333333,0,0,7,7
1970,0,0,7,7
1971.666667,0,0,7,7
1973.333333,0,0,8,8
1975,0,0,8,8
1976.666667,0,0,8,8
1978.333333,0,0,9,9
1980,0,0,9,9
1981.666667,0,0,9,9
1983.333333,0,0,10,10
1985,0,0,10,10
1986.666667,0,0,10,10
1988.333333,0,0,11,11
1990,0,0,11,11
1991.666667,0,0,12,12
1993.333333,0,0,12,12
1995,0,0,13,13
1996.666667,0,0,13,13
1998.333333,0,0,13,13
2000,0,0,14,14
2001.666667,0,0,14,14
2003.333333,0,0,15,15
2005,0,0,15,15
2006.666667,0,0,16,16
2008.333333,0,0,16,16
2010,0,0,17,17
2011.666667,0,0,17,17
2013.333333,0,0,18,18
2015,0,0,18,18
2016.666667,0,0,19,19
2018.333333,0,0,19,19
2020,0,0,20,20
2021.666667,0,0,20,20
2023.333333,0,0,21,21
2025,0,0,21,21
2026.666667,0,0,22,22
2028.333333,0,0,22,22
2030,0,0,23,23
2031.666667,0,0,24,24
2033.333333,0,0,24,24
2035,0,0,25,25
2036.666667,0,0,25,25
2038.333333,0,0,26,26
2040,0,0,26,26
2041.666667,0,0,27,27
2043.333333,0,0,27,27
2045,0,0,28,28
2046.666667,0,0,28,28
2048.333333,0,0,29,29
2050,0,0,29,29
2051.666667,0,0,30,30
2053.333333,0,0,30,30
2055,0,0,31,31
2056.666667,0,0,31,31
2058.333333,0,0,32,32
2060,0,0,32,32
2061.666667,0,0,33,33
2063.333333,0,0,33,33
2065,0,0,34,34
2066.666667,0,0,34,34
2068.333333,0,0,35,35
2070,0,0,35,35
2071.666667,0,0,36,36
2073.333333,0,0,36,36
2075,0,0,36,36
2076.666667,0,0,37,37
2078.333333,0,0,37,37
2080,0,0,37,37
2081.666667,0,0,38,38
2083.333333,0,0,38,38
2085,0,0,38,38
2086.666667,0,0,38,38
2088.333333,0,0,39,39
2090,0,0,39,39
2091.666667,0,0,39,39
2093.333333,0,0,39,39
2095,0,0,40,40
2096.666667,0,0,40,40
2098.333333,0,0,40,40
2100,0,0,40,40
2101.666667,0,0,40,40
2103.333333,0,0,40,40
2105,0,0,40,40
2106.666667,0,0,40,40
2108.333333,0,0,40,40
2110,0,0,40,40
2111.666667,0,0,40,40
2113.333333,0,0,40,40
2115,0,0,40,40
2116.666667,0,0,40,40
2118.333333,0,0,40,40
2120,0,0,40,40
2121.666667,0,0,40,40
2123.333333,0,0,40,40
2125,0,0,40,40
2126.666667,0,0,39,39
2128.333333,0,0,39,39
2130,0,0,39,39
2131.666667,0,0,39,39
2133.333333,0,0,38,38
2135,0,0,38,38
2136.666667,0,0,38,38
2138.333333,0,0,38,38
2140,0,0,37,37
2141.666667,0,0,37,37
2143.333333,0,0,36,36
2145,0,0,36,36
2146.666667,0,0,36,36
2148.333333,0,0,35,35
2150,0,0,35,35
2151.666667,0,0,35,35
2153.333333,0,0,34,34
2155,0,0,34,34
2156.666667,0,0,33,33
2158.333333,0,0,33,33
2160,0,0,32,32
2161.666667,0,0,32,32
2163.333333,0,0,31,31
2165,0,0,31,31
2166.666667,0,0,30,30
2168.333333,0,0,30,30
2170,0,0,29,29
2171.666667,0,0,29,29
2173.333333,0,0,28,28
2175,0,0,28,28
2176.666667,0,0,27,27
2178.333333,0,0,27,27
2180,0,0,26,26
2181.666667,0,0,25,25
2183.333333,0,0,25,25
2185,0,0,24,24
2186.666667,0,0,24,24
2188.333333,0,0,23,23
2190,0,0,23,23
2191.666667,0,0,22,22
2193.333333,0,0,22,22
2195,0,0,21,21
2196.666667,0,0,21,21
2198.333333,0,0,20,20
2200,0,0,20,20
2201.666667,0,0,19,19
2203.333333,0,0,19,19
2205,0,0,18,18
2206.666667,0,0,17,17
2208.333333,0,0,17,17
2210,0,0,16,16
2211.666667,0,0,16,16
2213.333333,0,0,16,16
2215,0,0,15,15
2216.666667,0,0,15,15
2218.333333,0,0,14,14
2220,0,0,14,14
2221.666667,0,0,13,13
2223.333333,0,0,13,13
2225,0,0,12,12
2226.666667,0,0,12,12
2228.333333,0,0,11,11
2230,0,0,11,11
2231.666667,0,0,11,11
2233.333333,0,0,10,10
2235,0,0,10,10
2236.666667,0,0,10,10
2238.333333,0,0,9,9
2240,0,0,9,9
2241.666667,0,0,8,8
2243.333333,0,0,8,8
2245,0,0,8,8
2246.666667,0,0,7,7
2248.333333,0,0,7,7
2250,0,0,7,7
2251.666667,0,0,7,7
2253.333333,0,0,6,6
2255,0,0,6,6
2256.666667,0,0,6,6
2258.333333,0,0,5,5
2260,0,0,5,5
2261.666667,0,0,5,5
2263.333333,0,0,5,5
2265,0,0,4,4
2266.666667,0,0,4,4
2268.333333,0,0,4,4
2270,0,0,4,4
2271.666667,0,0,4,4
2273.333333,0,0,3,3
2275,0,0,3,3
2276.666667,0,0,3,3
2278.333333,0,0,3,3
2280,0,0,3,3
2281.666667,0,0,3,3
2283.333333,0,0,2,2
2285,0,0,2,2
2286.666667,0,0,2,2
2288.333333,0,0,2,2
2290,0,0,2,2
2291.666667,0,0,2,2
2293.333333,0,0,2,2
2295,0,0,2,2
2296.666667,0,0,1,1
2298.333333,0,0,1,1
2300,0,0,1,1
2301.666667,0,0,1,1
2303.333333,0,0,1,1
2305,0,0,1,1
2306.666667,0,0,1,1
2308.333333,0,0,1,1
2310,0,0,1,1
2311.666667,0,0,1,1
2313.333333,0,0,1,1
2315,0,0,1,1
2316.666667,0,0,0,0
2318.333333,0,0,0,0
2320,0,0,0,0
2321.666667,0,0,0,0
2323.333333,0,0,0,0
2325,0,0,0,0
2326.666667,0,0,0,0
2328.333333,0,0,0,0
2330,0,0,0,0
2331.666667,0,0,0,0
2333.333333,0,0,0,0
2335,0,0,0,0
2336.666667,0,0,0,0
2338.333333,0,0,0,0
2340,0,0,0,0
2341.666667,0,0,0,0
2343.333333,0,0,0,0
2345,0,0,0,0
2346.666667,0,0,0,0
2348.333333,0,0,0,0
2350,0,0,0,0
2351.666667,0,0,0,0
2353.333333,0,0,0,0
2355,0,0,0,0
2356.666667,0,0,0,0
2358.333333,0,0,0,0
2360,0,0,0,0
2361.666667,0,0,0,0
2363.333333,0,0,0,0
2365,0,0,0,0
2366.666667,0,0,0,0
2368.333333,0,0,0,0
2370,0,0,0,0
2371.666667,0,0,0,0
2373.333333,0,0,0,0
2375,0,0,0,0
2376.666667,0,0,0,0
2378.333333,0,0,0,0
2380,0,0,0,0
2381.666667,0,0,0,0
2383.333333,0,0,0,0
2385,0,0,0,0
2386.666667,0,0,0,0
2388.333333,0,0,0,0
2390,0,0,0,0
2391.666667,0,0,0,0
2393.333333,0,0,0,0
2395,0,0,0,0
2396.666667,0,0,0,0
2398.333333,0,0,0,0
