current_traveling_period,current_velocity,pedestrian_tag
0,1.0202984330456968,[INDEXA_R1_0]
0,1.0218682462199629,[INDEXA_R2_0]
0,1.0210830379540061,[INDEXA_R3_0]
1,1.0223619464805347,[INDEXA_R1_0]
1,1.0226247542354163,[INDEXA_R2_0]
1,1.0225690182364313,[INDEXA_R3_0]
2,1.0226206176311108,[INDEXA_R1_0]
2,1.0226562840898632,[INDEXA_R2_0]
2,1.0226531292619763,[INDEXA_R3_0]
3,1.0226530432809808,[INDEXA_R1_0]
3,1.0226576293969798,[INDEXA_R2_0]
3,1.0226574667084727,[INDEXA_R3_0]
4,1.0226571079892683,[INDEXA_R1_0]
4,1.0226576878513631,[INDEXA_R2_0]
4,1.0226576798566238,[INDEXA_R3_0]
5,1.0226576175196411,[INDEXA_R1_0]
5,1.0226576904259663,[INDEXA_R2_0]
5,1.0226576900438642,[INDEXA_R3_0]
6,1.0226576813916788,[INDEXA_R1_0]
6,1.022657690540488,[INDEXA_R2_0]
6,1.0226576905225342,[INDEXA_R3_0]
7,1.0226576893983401,[INDEXA_R1_0]
7,1.0226576905456182,[INDEXA_R2_0]
7,1.0226576905447835,[INDEXA_R3_0]
8,1.0226576904239688,[INDEXA_R1_0]
8,1.022657690545849,[INDEXA_R2_0]
8,1.0226576905458105,[INDEXA_R3_0]
9,1.0226576905329126,[INDEXA_R1_0]
9,1.0226576905458595,[INDEXA_R2_0]
9,1.0226576905458578,[INDEXA_R3_0]
10,1.0226576905444846,[INDEXA_R1_0]
10,1.02265769054586,[INDEXA_R2_0]
10,1.02265769054586,[INDEXA_R3_0]
11,1.0226576905457139,[INDEXA_R1_0]
11,1.02265769054586,[INDEXA_R2_0]
11,1.02265769054586,[INDEXA_R3_0]
12,1.0226576905458444,[INDEXA_R1_0]
12,1.02265769054586,[INDEXA_R2_0]
12,1.02265769054586,[INDEXA_R3_0]
13,1.0226576905458584,[INDEXA_R1_0]
13,1.02265769054586,[INDEXA_R2_0]
13,1.02265769054586,[INDEXA_R3_0]
14,1.0226576905458598,[INDEXA_R1_0]
14,0.0,[INDEXA_R2_0]
14,1.02265769054586,[INDEXA_R3_0]
15,1.02265769054586,[INDEXA_R1_0]
15,0.9345975048705333,[INDEXA_R2_0]
15,0.9411015434974147,[INDEXA_R3_0]
16,1.02265769054586,[INDEXA_R1_0]
16,1.014556210736508,[INDEXA_R2_0]
16,1.0091309213235464,[INDEXA_R3_0]
17,1.02265769054586,[INDEXA_R1_0]
17,1.021874049594265,[INDEXA_R2_0]
17,1.0209328546846195,[INDEXA_R3_0]
18,1.02265769054586,[INDEXA_R1_0]
18,1.0225792420410391,[INDEXA_R2_0]
18,1.02245764149161,[INDEXA_R3_0]
19,1.02265769054586,[INDEXA_R1_0]
19,1.0226496631122892,[INDEXA_R2_0]
19,1.0226354805844133,[INDEXA_R3_0]
20,1.02265769054586,[INDEXA_R1_0]
20,1.0226568580564104,[INDEXA_R2_0]
20,1.0226552791373729,[INDEXA_R3_0]
21,1.02265769054586,[INDEXA_R1_0]
21,1.0226576035244936,[INDEXA_R2_0]
21,1.0226574318475492,[INDEXA_R3_0]
22,1.02265769054586,[INDEXA_R1_0]
22,1.022657681407219,[INDEXA_R2_0]
22,1.0226576629749875,[INDEXA_R3_0]
23,1.02265769054586,[INDEXA_R1_0]
23,1.0226576895835904,[INDEXA_R2_0]
23,1.0226576876183051,[INDEXA_R3_0]
24,1.02265769054586,[INDEXA_R1_0]
24,1.0226576904443807,[INDEXA_R2_0]
24,1.0226576902356495,[INDEXA_R3_0]
25,1.02265769054586,[INDEXA_R1_0]
25,1.0226576905351488,[INDEXA_R2_0]
25,1.022657690513028,[INDEXA_R3_0]
26,1.02265769054586,[INDEXA_R1_0]
26,1.0226576905450058,[INDEXA_R2_0]
26,1.0226576905448042,[INDEXA_R3_0]
27,1.02265769054586,[INDEXA_R1_0]
27,1.0226576905458304,[INDEXA_R2_0]
27,1.0226576905457985,[INDEXA_R3_0]
28,1.02265769054586,[INDEXA_R1_0]
28,1.0226576905458589,[INDEXA_R2_0]
28,1.022657690545857,[INDEXA_R3_0]
29,1.02265769054586,[INDEXA_R1_0]
29,1.02265769054586,[INDEXA_R2_0]
29,1.0226576905458598,[INDEXA_R3_0]
30,1.02265769054586,[INDEXA_R1_0]
30,1.02265769054586,[INDEXA_R2_0]
30,1.02265769054586,[INDEXA_R3_0]
31,1.02265769054586,[INDEXA_R1_0]
31,1.02265769054586,[INDEXA_R2_0]
31,1.02265769054586,[INDEXA_R3_0]
32,1.02265769054586,[INDEXA_R1_0]
32,1.02265769054586,[INDEXA_R2_0]
32,1.02265769054586,[INDEXA_R3_0]
33,1.02265769054586,[INDEXA_R1_0]
33,1.02265769054586,[INDEXA_R2_0]
33,1.02265769054586,[INDEXA_R3_0]
34,1.02265769054586,[INDEXA_R1_0]
34,1.02265769054586,[INDEXA_R2_0]
34,1.02265769054586,[INDEXA_R3_0]
35,1.02265769054586,[INDEXA_R1_0]
35,1.02265769054586,[INDEXA_R2_0]
35,1.02265769054586,[INDEXA_R3_0]
36,1.02265769054586,[INDEXA_R1_0]
36,1.02265769054586,[INDEXA_R2_0]
36,1.02265769054586,[INDEXA_R3_0]
37,1.02265769054586,[INDEXA_R1_0]
37,1.02265769054586,[INDEXA_R2_0]
37,1.02265769054586,[INDEXA_R3_0]
38,1.02265769054586,[INDEXA_R1_0]
38,1.02265769054586,[INDEXA_R2_0]
38,1.02265769054586,[INDEXA_R3_0]
39,1.02265769054586,[INDEXA_R1_0]
39,1.02265769054586,[INDEXA_R2_0]
39,1.02265769054586,[INDEXA_R3_0]
40,1.02265769054586,[INDEXA_R1_0]
40,1.02265769054586,[INDEXA_R2_0]
40,1.02265769054586,[INDEXA_R3_0]
41,1.02265769054586,[INDEXA_R1_0]
41,1.02265769054586,[INDEXA_R2_0]
41,1.02265769054586,[INDEXA_R3_0]
42,1.02265769054586,[INDEXA_R1_0]
42,1.02265769054586,[INDEXA_R2_0]
42,1.02265769054586,[INDEXA_R3_0]
43,1.02265769054586,[INDEXA_R1_0]
43,1.02265769054586,[INDEXA_R2_0]
43,1.02265769054586,[INDEXA_R3_0]
44,1.02265769054586,[INDEXA_R1_0]
44,1.02265769054586,[INDEXA_R2_0]
44,1.02265769054586,[INDEXA_R3_0]
45,1.02265769054586,[INDEXA_R1_0]
45,1.02265769054586,[INDEXA_R2_0]
45,1.02265769054586,[INDEXA_R3_0]
46,1.02265769054586,[INDEXA_R1_0]
46,1.02265769054586,[INDEXA_R2_0]
46,1.02265769054586,[INDEXA_R3_0]
47,1.0239850298394424,[INDEXA_R1_0]
47,1.02265769054586,[INDEXA_R2_0]
47,1.02265769054586,[INDEXA_R3_0]
48,1.0240022577898755,[INDEXA_R1_0]
48,1.02265769054586,[INDEXA_R2_0]
48,1.02265769054586,[INDEXA_R3_0]
49,1.0240024813968143,[INDEXA_R1_0]
49,1.02265769054586,[INDEXA_R2_0]
49,1.02265769054586,[INDEXA_R3_0]
50,1.0240024842990785,[INDEXA_R1_0]
50,1.02265769054586,[INDEXA_R2_0]
50,1.02265769054586,[INDEXA_R3_0]
51,1.024002484336748,[INDEXA_R1_0]
51,1.02265769054586,[INDEXA_R2_0]
51,1.02265769054586,[INDEXA_R3_0]
52,1.0240024843372368,[INDEXA_R1_0]
52,1.02265769054586,[INDEXA_R2_0]
52,1.02265769054586,[INDEXA_R3_0]
53,1.024002484337243,[INDEXA_R1_0]
53,1.02265769054586,[INDEXA_R2_0]
53,1.02265769054586,[INDEXA_R3_0]
54,1.0240024843372433,[INDEXA_R1_0]
54,1.02265769054586,[INDEXA_R2_0]
54,1.02265769054586,[INDEXA_R3_0]
55,1.0240024843372433,[INDEXA_R1_0]
55,1.02265769054586,[INDEXA_R2_0]
55,1.02265769054586,[INDEXA_R3_0]
56,1.0240024843372433,[INDEXA_R1_0]
56,1.02265769054586,[INDEXA_R2_0]
56,1.02265769054586,[INDEXA_R3_0]
57,1.0240024843372433,[INDEXA_R1_0]
57,1.02265769054586,[INDEXA_R2_0]
