currentTime,naiveAgent,rationalAgent,rubyAgent,allAgent
19:00:00,9,0,0,9
19:01:00,9,0,0,9
19:02:00,9,0,0,9
19:03:00,9,0,0,9
19:04:00,10,0,0,10
19:05:00,10,0,0,10
19:06:00,10,0,0,10
19:07:00,11,0,0,11
19:08:00,11,0,0,11
19:09:00,11,0,0,11
19:10:00,11,0,0,11
19:11:00,12,0,0,12
19:12:00,12,0,0,12
19:13:00,12,0,0,12
19:14:00,12,0,0,12
19:15:00,13,0,0,13
19:16:00,13,0,0,13
19:17:00,13,0,0,13
19:18:00,13,0,0,13
19:19:00,14,0,0,14
19:20:00,14,0,0,14
19:21:00,14,0,0,14
19:22:00,15,0,0,15
19:23:00,15,0,0,15
19:24:00,15,0,0,15
19:25:00,15,0,0,15
19:26:00,16,0,0,16
19:27:00,16,0,0,16
19:28:00,16,0,0,16
19:29:00,16,0,0,16
19:30:00,17,0,0,17
19:31:00,17,0,0,17
19:32:00,17,0,0,17
19:33:00,17,0,0,17
19:34:00,18,0,0,18
19:35:00,18,0,0,18
19:36:00,18,0,0,18
19:37:00,18,0,0,18
19:38:00,19,0,0,19
19:39:00,19,0,0,19
19:40:00,19,0,0,19
19:41:00,19,0,0,19
19:42:00,19,0,0,19
19:43:00,20,0,0,20
19:44:00,20,0,0,20
19:45:00,20,0,0,20
19:46:00,20,0,0,20
19:47:00,20,0,0,20
19:48:00,20,0,0,20
19:49:00,21,0,0,21
19:50:00,21,0,0,21
19:51:00,21,0,0,21
19:52:00,21,0,0,21
19:53:00,21,0,0,21
19:54:00,21,0,0,21
19:55:00,21,0,0,21
19:56:00,21,0,0,21
19:57:00,21,0,0,21
19:58:00,22,0,0,22
19:59:00,22,0,0,22
20:00:00,22,0,0,22
20:01:00,22,0,0,22
20:02:00,22,0,0,22
20:03:00,22,0,0,22
20:04:00,22,0,0,22
20:05:00,22,0,0,22
20:06:00,22,0,0,22
20:07:00,22,0,0,22
20:08:00,22,0,0,22
20:09:00,22,0,0,22
20:10:00,22,0,0,22
20:11:00,22,0,0,22
20:12:00,22,0,0,22
20:13:00,22,0,0,22
20:14:00,22,0,0,22
20:15:00,22,0,0,22
20:16:00,21,0,0,21
20:17:00,21,0,0,21
20:18:00,21,0,0,21
20:19:00,21,0,0,21
20:20:00,21,0,0,21
20:21:00,21,0,0,21
20:22:00,21,0,0,21
20:23:00,21,0,0,21
20:24:00,21,0,0,21
20:25:00,20,0,0,20
20:26:00,20,0,0,20
20:27:00,20,0,1,21
20:28:00,20,0,1,21
20:29:00,20,0,1,21
20:30:00,20,0,1,21
20:31:00,19,0,1,20
20:32:00,19,0,1,20
20:33:00,19,0,1,20
20:34:00,19,0,2,21
20:35:00,19,0,2,21
20:36:00,18,0,2,20
20:37:00,18,0,2,20
20:38:00,18,0,2,20
20:39:00,18,0,3,21
20:40:00,17,0,3,20
20:41:00,17,0,3,20
20:42:00,17,0,3,20
20:43:00,17,0,4,21
20:44:00,16,0,4,20
20:45:00,16,0,4,20
20:46:00,16,0,5,21
20:47:00,16,0,5,21
20:48:00,15,0,5,20
20:49:00,15,0,6,21
20:50:00,15,0,6,21
20:51:00,15,0,7,22
20:52:00,14,0,7,21
20:53:00,14,0,8,22
20:54:00,14,0,8,22
20:55:00,13,0,9,22
20:56:00,13,0,9,22
20:57:00,13,0,10,23
20:58:00,13,0,11,24
20:59:00,12,0,11,23
21:00:00,12,0,12,24
21:01:00,12,0,12,24
21:02:00,12,0,13,25
21:03:00,11,0,14,25
21:04:00,11,0,14,25
21:05:00,11,0,15,26
21:06:00,11,0,16,27
21:07:00,10,0,16,26
21:08:00,10,0,17,27
21:09:00,10,0,18,28
21:10:00,9,0,19,28
21:11:00,9,0,19,28
21:12:00,9,0,20,29
21:13:00,9,0,21,30
21:14:00,8,0,21,29
21:15:00,8,0,22,30
21:16:00,8,0,23,31
21:17:00,8,0,23,31
21:18:00,8,0,24,32
21:19:00,7,0,25,32
21:20:00,7,0,25,32
21:21:00,7,0,26,33
21:22:00,7,0,27,34
21:23:00,6,0,27,33
21:24:00,6,0,28,34
21:25:00,6,0,28,34
21:26:00,6,0,29,35
21:27:00,6,0,29,35
21:28:00,5,0,29,34
21:29:00,5,0,30,35
21:30:00,5,0,30,35
21:31:00,5,0,30,35
21:32:00,5,0,31,36
21:33:00,4,0,31,35
21:34:00,4,0,31,35
21:35:00,4,0,31,35
21:36:00,4,0,31,35
21:37:00,4,0,31,35
21:38:00,4,0,31,35
21:39:00,4,0,31,35
21:40:00,3,0,31,34
