time30sec,naiveAgent,rationalAgent,rubyAgent,sumType
1900,13,0,0,13
1901.666667,13,0,0,13
1903.333333,13,0,0,13
1905,13,0,0,13
1906.666667,13,0,0,13
1908.333333,14,0,0,14
1910,14,0,0,14
1911.666667,14,0,0,14
1913.333333,14,0,0,14
1915,15,0,0,15
1916.666667,15,0,0,15
1918.333333,15,0,0,15
1920,15,0,0,15
1921.666667,15,0,0,15
1923.333333,16,0,0,16
1925,16,0,0,16
1926.666667,16,0,0,16
1928.333333,16,0,0,16
1930,16,0,0,16
1931.666667,17,0,0,17
1933.333333,17,0,0,17
1935,17,0,0,17
1936.666667,17,0,0,17
1938.333333,17,0,0,17
1940,17,0,0,17
1941.666667,17,0,1,18
1943.333333,18,0,1,19
1945,18,0,1,19
1946.666667,18,0,1,19
1948.333333,18,0,1,19
1950,18,0,1,19
1951.666667,18,1,1,20
1953.333333,18,1,1,20
1955,18,1,1,20
1956.666667,18,1,1,20
1958.333333,19,1,1,21
1960,19,1,1,21
1961.666667,19,1,1,21
1963.333333,19,1,1,21
1965,19,1,1,21
1966.666667,19,1,2,22
1968.333333,19,2,2,23
1970,19,2,2,23
1971.666667,19,2,2,23
1973.333333,19,2,2,23
1975,19,2,2,23
1976.666667,19,2,2,23
1978.333333,19,2,2,23
1980,19,3,2,24
1981.666667,19,3,2,24
1983.333333,19,3,3,25
1985,19,3,3,25
1986.666667,19,3,3,25
1988.333333,19,4,3,26
1990,19,4,3,26
1991.666667,18,4,3,25
1993.333333,18,4,3,25
1995,18,4,3,25
1996.666667,18,5,4,27
1998.333333,18,5,4,27
2000,18,5,4,27
2001.666667,18,5,4,27
2003.333333,18,6,4,28
2005,18,6,4,28
2006.666667,17,6,4,27
2008.333333,17,6,5,28
2010,17,7,5,29
2011.666667,17,7,5,29
2013.333333,17,7,5,29
2015,17,7,5,29
2016.666667,17,8,5,30
2018.333333,16,8,6,30
2020,16,8,6,30
2021.666667,16,8,6,30
2023.333333,16,9,6,31
2025,16,9,6,31
2026.666667,15,9,7,31
2028.333333,15,9,7,31
2030,15,9,7,31
2031.666667,15,10,7,32
2033.333333,15,10,7,32
2035,14,10,8,32
2036.666667,14,10,8,32
2038.333333,14,10,8,32
2040,14,10,8,32
2041.666667,13,11,8,32
2043.333333,13,11,9,33
2045,13,11,9,33
2046.666667,13,11,9,33
2048.333333,13,11,9,33
2050,12,11,9,32
2051.666667,12,11,10,33
2053.333333,12,11,10,33
2055,12,11,10,33
2056.666667,11,11,10,32
2058.333333,11,11,10,32
2060,11,11,11,33
2061.666667,11,11,11,33
2063.333333,10,11,11,32
2065,10,11,11,32
2066.666667,10,11,11,32
2068.333333,10,11,12,33
2070,10,11,12,33
2071.666667,9,11,12,32
2073.333333,9,11,12,32
2075,9,11,12,32
2076.666667,9,11,12,32
2078.333333,8,10,13,31
2080,8,10,13,31
