currentTime,naiveAgent,rationalAgent,rubyAgent,allAgent
19:00:00,13,16,3,32
19:01:00,15,17,3,35
19:02:00,17,18,3,38
19:03:00,19,19,4,42
19:04:00,21,20,4,45
19:05:00,24,21,4,49
19:06:00,26,22,4,52
19:07:00,29,23,5,57
19:08:00,32,24,5,61
19:09:00,35,26,6,67
19:10:00,38,27,6,71
19:11:00,42,28,6,76
19:12:00,46,29,7,82
19:13:00,50,31,7,88
19:14:00,54,32,8,94
19:15:00,58,34,9,101
19:16:00,63,35,9,107
19:17:00,67,37,10,114
19:18:00,72,38,10,120
19:19:00,77,40,11,128
19:20:00,82,41,12,135
19:21:00,87,43,12,142
19:22:00,92,44,13,149
19:23:00,97,46,14,157
19:24:00,102,48,15,165
19:25:00,107,49,16,172
19:26:00,113,51,17,181
19:27:00,117,52,17,186
19:28:00,122,54,18,194
19:29:00,127,56,19,202
19:30:00,131,57,20,208
19:31:00,136,59,21,216
19:32:00,140,61,22,223
19:33:00,143,62,24,229
19:34:00,147,64,25,236
19:35:00,150,66,26,242
19:36:00,153,67,27,247
19:37:00,155,69,28,252
19:38:00,157,70,29,256
19:39:00,158,72,31,261
19:40:00,159,73,32,264
19:41:00,160,75,33,268
19:42:00,160,76,35,271
19:43:00,160,78,36,274
19:44:00,159,79,37,275
19:45:00,158,80,39,277
19:46:00,157,81,40,278
19:47:00,155,83,42,280
19:48:00,152,84,43,279
19:49:00,150,85,44,279
19:50:00,146,87,46,279
19:51:00,143,88,47,278
19:52:00,139,88,49,276
19:53:00,135,89,50,274
19:54:00,131,90,52,273
19:55:00,126,91,53,270
19:56:00,122,92,54,268
19:57:00,117,93,56,266
19:58:00,112,93,57,262
19:59:00,107,93,59,259
20:00:00,102,95,60,257
20:01:00,97,95,61,253
20:02:00,91,96,63,250
20:03:00,86,96,64,246
20:04:00,81,96,65,242
20:05:00,76,97,66,239
20:06:00,71,96,67,234
20:07:00,67,97,69,233
20:08:00,62,98,70,230
20:09:00,58,97,71,226
20:10:00,53,97,72,222
20:11:00,49,98,73,220
20:12:00,45,97,73,215
20:13:00,42,97,74,213
20:14:00,38,97,75,210
20:15:00,35,97,76,208
20:16:00,32,97,76,205
20:17:00,30,97,77,204
20:18:00,27,97,77,201
20:19:00,24,97,78,199
20:20:00,22,98,78,198
20:21:00,20,98,78,196
20:22:00,18,97,79,194
20:23:00,17,98,79,194
20:24:00,15,97,79,191
20:25:00,14,98,79,191
20:26:00,12,98,79,189
20:27:00,12,98,79,189
20:28:00,11,98,78,187
20:29:00,10,98,78,186
20:30:00,10,98,78,186
20:31:00,9,99,77,185
20:32:00,9,99,77,185
20:33:00,9,99,76,184
20:34:00,9,100,76,185
20:35:00,9,100,75,184
20:36:00,9,100,74,183
20:37:00,10,101,74,185
20:38:00,11,101,73,185
20:39:00,10,101,72,183
20:40:00,11,102,71,184
20:41:00,12,102,70,184
20:42:00,13,102,69,184
20:43:00,13,103,68,184
20:44:00,15,103,67,185
20:45:00,16,104,65,185
20:46:00,17,104,64,185
20:47:00,18,105,63,186
20:48:00,20,104,62,186
20:49:00,21,105,60,186
20:50:00,23,105,59,187
20:51:00,25,105,58,188
20:52:00,27,105,56,188
20:53:00,29,105,55,189
20:54:00,31,105,53,189
20:55:00,33,106,52,191
20:56:00,35,105,51,191
20:57:00,37,105,49,191
20:58:00,40,104,48,192
20:59:00,42,104,46,192
21:00:00,45,104,45,194
21:01:00,47,103,43,193
21:02:00,50,102,42,194
21:03:00,53,102,40,195
21:04:00,56,101,39,196
21:05:00,59,100,38,197
21:06:00,62,98,36,196
21:07:00,65,97,35,197
21:08:00,68,96,34,198
21:09:00,71,94,32,197
