GenerationFileの情報,エージェントID,発生時刻1,発生時刻2,到着時刻1,到着時刻2,移動時間1,移動時間2
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Route1"} "startTime":"19:00:00" "total":1 "duration":1 "startPlace":"SL_GPS" "goal":"EXIT_GPS" "conditions":["INDEXA_R1_0"]},ag00000,19:00:00,0,19:05:25,325,00:05:25,325
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:00:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00003,19:00:02,2,19:06:06,366,00:06:04,364
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:00:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00005,19:00:19,19,19:06:32,392,00:06:13,373
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:00:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00009,19:00:49,49,19:06:45,405,00:05:56,356
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:00:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00007,19:00:31,31,19:06:50,410,00:06:19,379
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:00:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00004,19:00:17,17,19:06:54,414,00:06:37,397
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:00:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00006,19:00:29,29,19:07:04,424,00:06:35,395
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:00:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00008,19:00:48,48,19:07:20,440,00:06:32,392
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:01:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00012,19:01:18,78,19:07:22,442,00:06:04,364
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:01:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00013,19:01:21,81,19:07:24,444,00:06:03,363
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:00:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00011,19:00:53,53,19:07:31,451,00:06:38,398
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:00:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00010,19:00:50,50,19:07:34,454,00:06:44,404
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:01:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00017,19:01:37,97,19:07:36,456,00:05:59,359
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:01:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00016,19:01:34,94,19:07:38,458,00:06:04,364
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:01:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00014,19:01:28,88,19:07:47,467,00:06:19,379
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:01:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00019,19:01:53,113,19:07:52,472,00:05:59,359
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:01:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00018,19:01:39,99,19:07:54,474,00:06:15,375
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:01:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00015,19:01:29,89,19:07:59,479,00:06:30,390
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:02:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00021,19:02:01,121,19:08:01,481,00:06:00,360
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:02:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00022,19:02:06,126,19:08:30,510,00:06:24,384
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:02:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00023,19:02:17,137,19:08:32,512,00:06:15,375
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:01:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00020,19:01:57,117,19:08:41,521,00:06:44,404
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:02:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00025,19:02:31,151,19:08:45,525,00:06:14,374
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:02:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00026,19:02:34,154,19:09:06,546,00:06:32,392
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:02:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00024,19:02:20,140,19:09:08,548,00:06:48,408
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:02:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00029,19:02:50,170,19:09:12,552,00:06:22,382
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:02:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00028,19:02:45,165,19:09:16,556,00:06:31,391
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:02:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00027,19:02:44,164,19:09:30,570,00:06:46,406
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Busy"} "startTime":"19:03:00" "total":9 "duration":60 "startPlace":"SL_SWM" "goal":"EXIT_STATION"},ag00031,19:03:24,204,19:09:32,572,00:06:08,368
{"rule":"EACH" "agentType":{"className":"RubyAgent" "rubyAgentClass":"SampleAgent_Route2"} "startTime":"19:00:00" "total":1 "duration":1 "startPlace":"SL_GPS" "goal":"EXIT_GPS" "conditions":["INDEXA_R2_0"]},ag00001,19:00:00,0,19:09:37,577,00:09:37,577
