time30sec,naiveAgent,rationalAgent,rubyAgent,sumType
1900,1,1,0,2
1901.666667,1,1,0,2
1903.333333,1,1,0,2
1905,2,2,0,4
1906.666667,2,2,0,4
1908.333333,2,2,0,4
1910,2,2,0,4
1911.666667,3,2,0,5
1913.333333,3,2,0,5
1915,3,2,0,5
1916.666667,4,2,0,6
1918.333333,4,3,0,7
1920,5,3,0,8
1921.666667,5,3,0,8
1923.333333,5,3,0,8
1925,6,3,0,9
1926.666667,6,3,1,10
1928.333333,7,4,1,12
1930,7,4,1,12
1931.666667,8,4,1,13
1933.333333,8,4,1,13
1935,9,4,1,14
1936.666667,10,4,1,15
1938.333333,10,5,1,16
1940,11,5,1,17
1941.666667,11,5,1,17
1943.333333,12,5,1,18
1945,12,5,1,18
1946.666667,13,5,2,20
1948.333333,13,6,2,21
1950,14,6,2,22
1951.666667,14,6,2,22
1953.333333,15,6,2,23
1955,15,6,2,23
1956.666667,16,7,2,25
1958.333333,16,7,2,25
1960,16,7,2,25
1961.666667,16,7,3,26
1963.333333,17,7,3,27
1965,17,7,3,27
1966.666667,17,8,3,28
1968.333333,17,8,3,28
1970,17,8,3,28
1971.666667,17,8,3,28
1973.333333,17,8,4,29
1975,17,8,4,29
1976.666667,17,8,4,29
1978.333333,16,9,4,29
1980,16,9,4,29
1981.666667,16,9,4,29
1983.333333,15,9,5,29
1985,15,9,5,29
1986.666667,15,9,5,29
1988.333333,14,9,5,28
1990,14,9,5,28
1991.666667,13,9,5,27
1993.333333,13,9,5,27
1995,12,9,6,27
1996.666667,12,9,6,27
1998.333333,11,9,6,26
2000,11,10,6,27
2001.666667,10,10,6,26
2003.333333,9,10,6,25
2005,9,10,6,25
2006.666667,8,10,7,25
2008.333333,8,10,7,25
2010,7,9,7,23
2011.666667,7,9,7,23
2013.333333,6,9,7,22
2015,6,9,7,22
2016.666667,5,9,7,21
2018.333333,5,9,7,21
2020,4,10,8,22
2021.666667,4,10,8,22
2023.333333,4,10,8,22
2025,3,10,8,21
2026.666667,3,10,8,21
2028.333333,3,10,8,21
2030,2,10,8,20
2031.666667,2,9,8,19
2033.333333,2,9,8,19
2035,2,10,8,20
2036.666667,1,10,8,19
2038.333333,1,10,8,19
2040,1,10,8,19
2041.666667,1,9,8,18
2043.333333,1,9,8,18
2045,1,10,8,19
2046.666667,0,10,8,18
2048.333333,0,10,8,18
2050,0,10,8,18
2051.666667,0,9,8,17
2053.333333,0,10,8,18
2055,0,10,8,18
2056.666667,0,10,8,18
2058.333333,0,10,8,18
2060,0,10,8,18
2061.666667,0,10,8,18
2063.333333,0,10,7,17
2065,1,10,7,18
2066.666667,1,10,7,18
2068.333333,1,11,7,19
2070,1,10,7,18
2071.666667,1,10,7,18
