time30sec,countTime,inflowStation,inflowStation10
1900,0,0,0
1900.833333,30,0,0
1901.666667,60,4,0
1902.5,90,4,0
1903.333333,120,2,1
1904.166667,150,2,0
1905,180,0,0
1905.833333,210,6,0
1906.666667,240,18,2
1907.5,270,6,1
1908.333333,300,4,0
1909.166667,330,0,0
1910,360,8,1
1910.833333,390,24,2
1911.666667,420,5,1
1912.5,450,1,0
1913.333333,480,2,0
1914.166667,510,3,0
1915,540,2,1
1915.833333,570,0,0
1916.666667,600,2,0
1917.5,630,6,0
1918.333333,660,5,1
1919.166667,690,6,1
1920,720,2,0
1920.833333,750,6,0
1921.666667,780,8,1
1922.5,810,0,0
1923.333333,840,2,0
1924.166667,870,2,1
1925,900,2,0
1925.833333,930,3,0
1926.666667,960,0,0
1927.5,990,0,0
1928.333333,1020,5,1
1929.166667,1050,9,0
1930,1080,3,1
1930.833333,1110,0,0
1931.666667,1140,2,0
1932.5,1170,2,0
1933.333333,1200,5,1
1934.166667,1230,2,0
1935,1260,8,1
1935.833333,1290,3,0
1936.666667,1320,4,0
1937.5,1350,1,0
1938.333333,1380,0,0
1939.166667,1410,1,1
1940,1440,11,1
1940.833333,1470,1,0
1941.666667,1500,6,0
1942.5,1530,20,2
1943.333333,1560,11,1
1944.166667,1590,6,1
1945,1620,3,0
1945.833333,1650,3,1
1946.666667,1680,14,1
1947.5,1710,7,1
1948.333333,1740,9,1
1949.166667,1770,0,0
1950,1800,1,0
1950.833333,1830,1,0
1951.666667,1860,0,0
1952.5,1890,1,0
1953.333333,1920,5,0
1954.166667,1950,6,1
1955,1980,16,2
1955.833333,2010,4,0
1956.666667,2040,3,0
1957.5,2070,5,1
1958.333333,2100,0,0
1959.166667,2130,3,0
1960,2160,2,0
1960.833333,2190,9,1
1961.666667,2220,2,0
1962.5,2250,2,1
1963.333333,2280,2,0
1964.166667,2310,3,0
1965,2340,4,1
1965.833333,2370,10,1
1966.666667,2400,5,0
1967.5,2430,6,1
1968.333333,2460,4,0
1969.166667,2490,15,2
1970,2520,9,0
1970.833333,2550,6,1
1971.666667,2580,14,1
1972.5,2610,5,1
1973.333333,2640,8,1
1974.166667,2670,10,1
1975,2700,4,0
1975.833333,2730,5,1
1976.666667,2760,3,0
1977.5,2790,4,0
1978.333333,2820,0,0
1979.166667,2850,7,1
1980,2880,3,0
1980.833333,2910,7,1
1981.666667,2940,12,1
1982.5,2970,11,1
1983.333333,3000,11,1
1984.166667,3030,2,1
1985,3060,14,1
1985.833333,3090,1,0
1986.666667,3120,6,1
1987.5,3150,0,0
1988.333333,3180,21,2
1989.166667,3210,6,0
1990,3240,11,2
1990.833333,3270,15,1
1991.666667,3300,1,0
1992.5,3330,7,1
1993.333333,3360,14,1
1994.166667,3390,16,2
1995,3420,26,2
1995.833333,3450,13,2
1996.666667,3480,10,1
1997.5,3510,24,2
1998.333333,3540,0,0
